Name,Emotional value:,Health value:,Product group:,Energy (kcal),Energy (kJoule),Water,Protein,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Trans fat,Cholesterol,Carbohydrates,Sugars,Polysaccharides,Dietary fiber,Vitamin A (Retinol),Vitamin B1 (Thiamine),Vitamin B (Repulfvin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B11 (Folic acid),Vitamin B12 (Cobalamin),Vitamin C (Ascorbic Acid),Vitamin D (Calcifine),Vitamin E (Tocopherol),Vitamin K (Phyloquinone),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Iron (Fe),Magnesium (Mg),Copper (Cu),Zinc (Zn),Selenium (Se),Iodine (I),Manganese (Mn)
"Plums, dried, uncooked",5.8,-,Fruit,221,927,"36,0","2,0","0,0","0,0","0,0","0,0",-,"0,0","45,0","45,0",-,"16,0","0,03","0,30","0,06",-,"0,25",2,"0,00","0,0","0,0",-,-,10,800,"30,0","60,0","1,0","30,00","0,15","0,50",-,-,-
"Plums, fresh",6.4,-,Fruit,60,255,"83,6","0,8","0,6",-,-,-,-,-,"12,0","11,5",-,"2,0","0,06","0,02","0,03",-,"0,10",2,"0,00","9,5","0,0",-,-,0,200,"10,0","20,0","0,2","10,00","0,30","0,10",-,-,-
"Plums, mixed varieties, fresh",7.5,-,Fruit,56,235,"84,5","0,6","0,2","0,0","0,0","0,0",-,"0,0","12,0","7,6",-,"1,7","0,06","0,02","0,04",-,"0,04",2,"0,00","5,5","0,0",-,-,1,220,"15,0","20,0","0,5","10,00","0,06","0,08",-,-,-
"Pomegranate, fresh",6.0,-,Fruit,85,360,"77,3","1,0","0,7","0,2","0,1","0,2",-,"0,0","17,5","12,0",-,"2,5","0,01","0,05","0,02",-,"0,30",-,"0,00","6,5","0,0",-,-,3,200,"10,0","10,0","0,3","10,00","0,20","0,40",-,-,-
"Quinces, fresh",5.3,-,Fruit,69,291,"80,9","0,5","0,1","0,0","0,0","0,0",-,"0,0","15,5",-,-,"2,0","4,00",-,-,-,-,-,-,"15,0",-,-,-,4,-,"10,0",-,"0,7",-,-,-,-,-,-
"Raisins, mixed varieties",6.9,-,Fruit,329,1375,"13,0","2,0","0,0","0,0","0,0","0,0",-,"0,0","75,0","75,0",-,"9,0","0,00","0,07","0,03",-,"0,17",3,"0,00","0,0","0,0",-,-,20,650,"50,0","90,0","2,0","40,00","0,80","0,20",-,-,-
"Raisins, seedles",6.7,-,Fruit,291,1216,"24,5","2,5","0,1","0,0","0,0","0,0",-,"0,0","66,5","64,0",-,"5,4","0,00","0,12","0,05",-,"0,11",7,"0,00","1,0","0,0",-,-,20,800,"30,0","110,0","0,3","40,00","0,10","0,10",-,-,-
"Raspberries, fresh",7.3,-,Fruit,68,286,"76,0","1,2","0,5","0,1","0,1","0,3",-,"0,0","14,3","14,1",-,"7,0","0,00","0,02","0,05",-,"0,07",25,"0,00","25,0","0,0",-,-,0,170,"40,0","40,0","1,0","25,00","0,15","0,00",-,-,-
"Red berries, fresh",6.8,-,Fruit,51,213,"82,9","1,1","0,1","0,0","0,0","0,0",-,"0,0","7,9","6,0",-,"7,9","0,00","0,07","0,02",-,"0,07",10,"0,00","10,0","0,0",-,-,1,238,"29,0","27,0","1,0","12,00","0,10","0,20",-,-,-
"Rose hip, fresh",6.3,-,Fruit,95,395,"50,5","3,5","0,1",-,-,-,-,"0,0","19,5","16,0",-,-,-,-,-,-,-,-,-,"1250,0",-,-,-,150,290,"250,0","260,0","0,5",-,"1,50","1,00",-,-,-
"Strawberries, fresh",9.0,-,Fruit,36,154,"89,3","0,8","0,4","0,0","0,0","0,0",-,"0,0","6,5","5,4",-,"2,0","0,00","0,03","0,05",-,"0,06",65,"0,00","64,0","0,0",-,-,2,150,"25,0","30,0","0,9","15,00","0,12","0,12",-,-,-
"Tangerines, mandarin oranges, fresh",8.3,-,Fruit,49,209,"86,0","0,7","0,3","0,0","0,0","0,0",-,"0,0","10,1","1,7",-,"1,9","0,05","0,06","0,01",-,"0,03",10,"0,00","30,0","0,0",-,-,1,210,"33,0","20,0","0,0","7,00","0,00","0,12",-,-,-
"Watermelon, fresh",7.7,-,Fruit,37,159,"89,3","0,6","0,2","0,0","0,0","0,0",-,"0,0","7,8","7,5",-,"1,1","0,02","0,04","0,05",-,"0,07",1,"0,00","6,0","0,0",-,-,1,160,"10,0","10,0","0,4","10,00","0,00","0,10",-,-,-
